Audio / Video,Show,Tour,Date,Matinée / Evening,Master,Cast,Master Notes,Trading Notes,NFT Date,NFT Forever,Not For Sale,Gifting Status,Limited Trade Status,Type,Release Format,Trader Format,My Notes,Amount Recorded,Venue,City,Collected,Link
Video,The 25th Annual Putnam County Spelling Bee,Broadway Center Stage,"Oct, 2024",Unknown,StarCuffedJeans,"Bonnie Milligan (Rona Lisa Peretti), Nina White (Olive Ostrovsky), Kevin McHale (William Barfée), Beanie Feldstein (Logainne Schwartzandgrubenierre), Alex Joseph Grayson (Mitch Mahoney), Noah Galvin (Leaf Coneybear), Leana Rae Concepcion (Marcy Park), Philippe Arroyo (Chip Tolentino), Taran Killam (Douglas Panch), Jesse Tyler Ferguson (g/p Guest Speller), Sarah Saltzberg (g/p Guest Speller), Jose Llana (g/p Guest Speller)",Not Applicable,Not Applicable,2026-02-01,Not Applicable,Not Applicable,Gift at your Discretion,Unrestricted,Bootleg,"MP4 (HD) - 4.98 GB
",1080p MP4 - 4.98 GB,Not Applicable,Full Show,The Kennedy Center - Eisenhower Theater,"Washington, DC",2026-04-15,https://encora.it/recordings/2018661/
Video,All The Devils Are Here,Shakespeare Theatre Company,2021,Unknown,Not Applicable,Patrick Page (Performer),Not Applicable,"From the STC website: Macbeth. Iago. Claudius. STC Affiliated Artist Patrick Page invites you to experience the evolution of evil in Shakespeare’s villains—from rogues and cutthroats to tyrants and sociopaths. Patrick Page explores how Shakespeare created the treacherous characters we all love to hate. This mesmerizing one-man performance is available online only.
The exact recording date is unclear, but it was available to view online starting on February 4, 2021.",Not Applicable,Not Applicable,Not Applicable,Gift at your Discretion,Unrestricted,Pro-Shot,Not Applicable,1080p MP4 - 9.2 GB,Not Applicable,Full Show,Not Applicable,Not Applicable,2026-04-16,https://encora.it/recordings/1133570/
Video,Attack on Titan: The Musical,Japan,"Jan, 2023 (2)",Unknown,Not Applicable,"Kurumu Okamiya (Eren Yeager), Sara Takatsuki (Mikasa Ackerman), Eito Konishi (Armin Arlert), Yū Fukuzawa (Jean Kirstein), Kazuaki Yasue (Marco Bott), Tomoya Nakanishi (Connie Springer), Sena (Sasha Blouse), Mitsu Murata (Hannes), Takeshi Hayashino (Keith Shadis), Masanori Tomita (Dimo Reeves), Mimi Maihane (Carla Yeager), Mitsuru Karahashi (Grisha Yeager), Riona Tatemichi (Hange Zoe), Ryo Matsuda (Levi), Takuro Ono (Erwin Smith)",Not Applicable,DMM premium livestream; most likely the same performance and edit as the Blu-ray,Not Applicable,Not Applicable,Not Applicable,Gift at your Discretion,Unrestricted,Pro-Shot,Not Applicable,1080p MP4 - 3.51 GB,Not Applicable,Full Show,Nippon Seinenkan Hall,"Tokyo, Japan",2026-04-16,https://encora.it/recordings/2008013/
Video,Attack on Titan: The Musical,Japan,"Jan, 2023 (1)",Unknown,Not Applicable,"Kurumu Okamiya (Eren Yeager), Sara Takatsuki (Mikasa Ackerman), Eito Konishi (Armin Arlert), Yū Fukuzawa (Jean Kirstein), Kazuaki Yasue (Marco Bott), Tomoya Nakanishi (Connie Springer), Sena (Sasha Blouse), Mitsu Murata (Hannes), Takeshi Hayashino (Keith Shadis), Masanori Tomita (Dimo Reeves), Mimi Maihane (Carla Yeager), Mitsuru Karahashi (Grisha Yeager), Riona Tatemichi (Hange Zoe), Ryo Matsuda (Levi), Takuro Ono (Erwin Smith)",Not Applicable,Official livestream with English subtitles.,Not Applicable,Not Applicable,Not Applicable,Gift at your Discretion,Unrestricted,Pro-Shot,Not Applicable,1080p MP4 - 3.51 GB,Not Applicable,Full Show,Nippon Seinenkan Hall,"Tokyo, Japan",2026-04-16,https://encora.it/recordings/1151729/
Video,Avenue Q,Broadway,"Jul 16, 2004",Evening,Unknown,"John Tartaglia (Princeton/Rod), Stephanie D'Abruzzo (Kate Monster/Lucy the Slut), Rick Lyon (Nicky/Trekkie Monster/Bad Idea Bear), Jennifer Barnhart (Bad Idea Bear/Mrs. Thistletwat), Natalie Venetia Belcon (Gary Coleman), Ann Harada (Christmas Eve), Jordan Gelber (Brian), Peter Linz (Ensemble)",Not Applicable,"Filmed from the left balcony, good camera, good sound. Beautiful close-ups, especially for 2004. For sure the best OBC recording. A.

There appear to be two separate folder structures floating around for this one. One with the correct smalls, which load a menu displaying Act I and Act II, and one with corrupted smalls, which load up a single blue-and-violet DVD menu.",Not Applicable,Not Applicable,Not Applicable,Gift at your Discretion,Unrestricted,Bootleg,Not Applicable,480p VOB - 3.84 GB,Not Applicable,Full Show,John Golden Theatre,"New York, NY",2026-04-15,https://encora.it/recordings/1000581/
Video,Beetlejuice,Broadway,"Jul 27, 2019",Matinee,Medium Observation,"Alex Brightman (Beetlejuice), Sophia Anne Caruso (Lydia Deetz), Kerry Butler (Barbara Maitland), Rob McClure (Adam Maitland), Adam Dannheisser (Charles Deetz), Leslie Rodriguez Kritzer (Delia Deetz/Miss Argentina), Kelvin Moon Loh (Otho), Danny Rutigliano (Maxie Dean), Jill Abramovitz (Maxine Dean/Juno), Dana Steingold (Girl Scout)",Not Applicable,"Full HD stageshot filmed from the front orchestra! This is fairly better than the other stageshot, including less heads, more facial features, but one major head thats sometimes filmed around whenever the master isnt wandering downward. Great video quality overall and it includes full Act One and Act Two starting at Beetlejuices entrance after Girl Scout through Curtain Call! 
Notes From Medium:
no original files exist, only the original YouTube Rip. I have the oldest copy, The files are only about 1.5 GB each Im not sure where everyone got the 13 GB video but feel free to email for the oldest copy of this video.",Not Applicable,Not Applicable,Not Applicable,Gift at your Discretion,Unrestricted,Bootleg,Not Applicable,1080p MP4 - 13.46 GB,Not Applicable,Full Show,Winter Garden Theatre,"New York, NY",2026-04-15,https://encora.it/recordings/19303/
Video,Black Mary Poppins,South Korea (Second Season),2013,Unknown,Not Applicable,"문진아 Moon Jin-ah (Anna), 박한근 Park Han-geun (Hans Simon), 문성일 Moon Sung-il (Hermann Dieter), 최성원 Choi Sung-won (Jonas), 홍륜희 Hong Ryun-hee (Mary Schmidt)",Not Applicable,Archival company video,Not Applicable,Not Applicable,Not Applicable,Gift at your Discretion,Unrestricted,Pro-Shot,Not Applicable,480p VOB - 7.07 GB,Not Applicable,Full Show,Not Applicable,"Seoul, Korea",2026-04-16,https://encora.it/recordings/1005704/
Video,The Book of Mormon,West End,"May 29, 2013",Evening,Unknown,"Gavin Creel (Elder Price), Dan Buckley (s/b Elder Cunningham), Alexia Khadime (Nabulungi), Stephen Ashfield (Elder McKinley), Giles Terera (Mafala Hatimbi), Tosh Wanogho-Maud (u/s General), Haydn Oakley (Mission President/Joseph Smith/Price's Father)",Not Applicable,"Clear capture with some spotlight washout; filmed from the stalls in clear 16:9 widescreen HD.
Released in both MP4 and VOB formats.",Not Applicable,Not Applicable,Not Applicable,Gift at your Discretion,Unrestricted,Bootleg,Not Applicable,1080p MP4 - 12 GB,Not Applicable,Full Show,Prince of Wales Theatre,"London, United Kingdom",2026-04-16,https://encora.it/recordings/284/
Video,Chess,First Broadway Revival,"Oct, 2025",Evening,The Riddle,"Lea Michele (Florence Vassy), Aaron Tveit (Freddie Trumper), Nicholas Christopher (Anatoly Sergievsky), Hannah Cruz (Svetlana Sergievsky), Bryce Pinkham (The Arbiter), Bradley Dean (Molokov), Sean Allan Krill (Walter de Courcey), Kyla Bartholomeusz (Ensemble), Daniel Beeman (Ensemble), Shavey Brown (Ensemble), Casey Garvin (Ensemble), Adam Halpin (Ensemble), Aliah James (Ensemble), Sydney Jones (Ensemble), Sean MacLaughlin (Ensemble), Sarah Meahl (Ensemble), Ramone Nelson (Ensemble), Michael Olaribigbe (Ensemble), Katerina Papacostas (Ensemble), Aleksandr Ivan Pevec (Ensemble), Samantha Pollino (Ensemble), Regine Sophia (Ensemble), Katie Webber (Ensemble)","Great 4k capture of the electric first preview of this revival! Little to no obstruction throughout, although unfortunately a lighting rig blocks the right of the upper level. Some washout in wider shots and wandering throughout, with minor instances of the camera focusing on the wrong thing due to usher activity. Many blackouts during the first ten minutes or so, also due to usher activity. Includes bows and audio of most of the overture.",Not Applicable,2026-04-01,Not Applicable,Not Applicable,Gift at your Discretion,Unrestricted,Bootleg,"MP4 (12.40 GB, 4K)",4K MP4 - 12.4 GB,Not Applicable,Full Show,Imperial Theatre,"New York, NY",2026-04-16,https://encora.it/recordings/2023065/
Video,Chess,Stockholm Revival,2003,Evening,Not Applicable,"Helen Sjöholm (Florence Vassy), Anders Ekborg (Freddie Trumper), Tommy Körberg (Anatoly Sergievsky), Josefin Nilsson (Svetlana Sergievsky), Rolf Skoglund (The Arbiter), Per Myrberg (Molokov)",Not Applicable,Commercially released DVD with English subtitles,Not Applicable,Not Applicable,Not Applicable,Gift at your Discretion,Unrestricted,Pro-Shot,Not Applicable,576p MKV - 2.68 GB,Not Applicable,Full Show,Cirkus Theatre,"Stockholm, Sweden",2026-04-16,https://encora.it/recordings/25418/
