Audio / Video,Show,Tour,Date,Matinée / Evening,Master,Cast,Master Notes,Trading Notes,NFT Date,NFT Forever,Not For Sale,Type,Release Format,Amount Recorded,Venue,City,Link
Video,The Book of Mormon,Chicago,"Dec 23, 2012",Evening,SunsetBlvd79,"Nic Rouleau (Elder Price), Ben Platt (Elder Cunningham), Syesha Mercado (Nabulungi), Pierce Cassedy (Elder McKinley), James Vincent Meredith (Mafala Hatimbi), David Aron Damane (General), Christopher Shyer (Mission President/Joseph Smith/Price's Father/Mission Training Center Voice)",Not Applicable,Beautiful HD capture of the Chicago cast. I cannot say enough wonderful things about this company! They really are rock solid and give terrific performances! Nic and Ben are really sensational and have great chemistry. A+,Not Applicable,Not Applicable,Not Applicable,Bootleg,Not Applicable,Full Show,Bank of America Theatre,"Chicago, IL",https://encora.it/recordings/31060/
Video,Cats,Off-Broadway (The Jellicle Ball),"Jun 21, 2024",Evening,bikinibottomday,"Chasity ""Tempress"" Moore (Grizabella), André De Shields (Old Deuteronomy), Junior LaBeija (Gus), Tara Lashan Clinkscales (u/s Bombalurina), Dudney Joseph Jr. (Munkustrap), Sydney James Harcourt (Rum Tum Tugger), Bebe Nicole Simpson (Demeter), Emma Sofia (Cassandra/Skimbleshanks), Garnet Williams (u/s Bustopher Jones), Jonathan Burke (Mungojerrie), Dava Huesca (Rumpleteazer), Shereen Pimentel (Jellylorum), Xavier Reyes (Jennyanydots), Robert ""Silk"" Mason (Mr. Mistoffelees), Antwayn Hopper (Macavity), Primo Thee Ballerino (Tumblebrutus), Teddy Wilson Jr. (Sillabub), Kendall Grayson Stroud (Electra), Capital Kaos (DJ Griddlebone), Baby Byrne (Victoria), Shelby Griswold (u/s Booth/u/s Police Officer/u/s Server), Frank Viveros (Booth/Police Officer/Server)","<p>Excellent 4K capture of this much-anticipated production. Some action on the balconies or in the audience couldn’t be captured, and because a lot of the staging uses the entire theatre, there are frequent wideshots. Some very minor obstruction in the top right that blocks off a tiny bit of action. Some moments of wandering and unfocusing. Includes curtain call, audio is fed from external source.</p>",Not Applicable,2024-12-17,Not Applicable,Not Applicable,Bootleg,MP4 (4K) - 10.03 GB,Full Show,Perelman Performing Arts Center,"New York, NY",https://encora.it/recordings/2001362/
Video,Falsettos,Second US National Tour,1994,Unknown,Unknown,"Michael Rupert (Marvin), Stephen Bogardus (Whizzer), Barbara Walsh (Trina), Chip Zien (Mendel), Sivan Cotel (Jason), Heather MacRae (Dr. Charlotte), Carolee Carmello (Cordelia)",Not Applicable,"The same video that has been titled 1993 Los Angeles. Dates confirmed via contemporary reviews (ie: Variety) April 28-July 3, 1994. There are two very different quality transfers shown now in the screenshots. The smaller size VOBs are the nicer looking ones. The worse transfer also starts a little later, missing the first sung line of Four Jews in a Room Bitching.",Not Applicable,Not Applicable,Not Applicable,Bootleg,Not Applicable,Full Show,Doolittle Theatre,"Los Angeles, CA",https://encora.it/recordings/5787/
Video,Hadestown,Broadway,"May, 2026",Unknown,MTTZ,"Joshua Colley (Orpheus), Jordan Tyson (Eurydice), Gaby Moreno (Persephone), Gary Dourdan (Hades), J. Harrison Ghee (Hermes), Jewelle Blackman (Fate), Jessie Shelton (Fate), Kay Trinidad (Fate), Malcolm Armwood (Worker), Sojourner Brown (Worker), Jeffrey Cornelius (Worker), Sydney Parra (Worker), Brandon Cameron (s/w Worker)","Excellent capture of this cast! Shot in a great mix of wides, mediums, and close-ups; more wides than usual due to an incredibly strange camera glitch where sometimes it just decided not to zoom in on Hades. No idea what that was about. Increased wandering, shaking, and re-adjusting throughout. Audio is patched in from an external source; some scraping and rustling might be heard during readjustment periods. Overall an excellent capture. Does not include Bows or Cups.",Not Applicable,2026-11-05,Not Applicable,Not Applicable,Bootleg,MP4 (4K),Full Show,Walter Kerr Theatre,"New York, NY",https://encora.it/recordings/2033302/
Video,Hadestown,Broadway,"May 29, 2024",Evening,Medium Observation,"Jordan Fisher (Orpheus), Isa Briones (Eurydice), Ani DiFranco (Persephone), Phillip Boykin (Hades), Jon Jon Briones (Hermes), Jessie Shelton (Fate), Kay Trinidad (Fate), Brit West (Fate), Malcolm Armwood (Worker), Sayo Oni (Worker), Emily Afton (Worker), Alex Puette (Worker), Grace Yoo (Worker)",<p>Near perfect capture of this incredible cast. there is a brief 30 second blackout at the end of road to hell. some readjusting and shakiness is seen throughout. includes we raise our cups.</p>,Not Applicable,2024-12-01,Not Applicable,Not Applicable,Bootleg,Not Applicable,Full Show,Walter Kerr Theatre,"New York, NY",https://encora.it/recordings/2000492/
Video,In the Heights,Broadway,"Mar 5, 2008",Evening,SunsetBlvd79,"Javier Muñoz (u/s Usnavi), Mandy Gonzalez (Nina), Christopher Jackson (Benny), Karen Olivo (Vanessa), Olga Merediz (Abuela Claudia), Carlos Gomez (Kevin), Priscilla Lopez (Camila), Andréa Burns (Daniela), Janet Dacal (Carla), Robin de Jesús (Sonny), Seth Stewart (Graffiti Pete), Eliseo Roman (Piragua Guy)",Great capture of this great show with fantastic closeups! Javier does a smashing job. Great cast and energy. A,"T/W: This video contains a PETA advertisement at the beginning, which contains graphic images and may be distressing.  This was included by the master on release.",Not Applicable,Not Applicable,Not Applicable,Bootleg,Not Applicable,Full Show,Richard Rodgers Theatre,"New York, NY",https://encora.it/recordings/1679/
Video,In the Heights,Olney Theatre,"Oct, 2017",Unknown,juniper47,"Robin de Jesús (Usnavi), Mili Diaz (Nina), Andre Hinds (u/s Benny), Melissa Victor (u/s Vanessa), Rayanne Gonzales (Abuela Claudia), Danny Bolero (Kevin), Vilma Gil (Camila), Natascia Diaz (Daniela), Eunice Bae (u/s Carla), Michael J. Mainwaring (Sonny), Juan Drigo Ricafort (Graffiti Pete), Tobias A Young (Piragua Guy), Sharlane Conner (Ensemble), Willie Garner (Ensemble), Jesse Jones (Ensemble), Ashleigh King (Ensemble), Rebecca Kritzer (Ensemble), Briana Taylor (Ensemble)",Not Applicable,"Super fun seeing this show with Robin de Jesús as Usnavi! Plus a number of understudies for this performance. Steady, clear 1080p HD 16:9 widescreen capture with minimal obstruction, only a couple of heads on the farthest downstage and sides of the stage. Mix of wides, medium, and close zooms to capture individual performances and ensemble numbers (the choreography was fun!). First minute or so of each act is audio only due to ushers, very few dropouts otherwise. Audio of a fundraising speech at the end of the show. Audio fed in from external source so it's super clear.",2021-05-01,Not Applicable,NFS,Bootleg,MP4 (HD),Full Show,Olney Theatre,"Olney, MD",https://encora.it/recordings/1110411/
Video,In the Heights,Clocktower Players,"Mar 15, 2014",Evening,Not Applicable,"Denis Adan Zepeda (Usnavi), Alia Munsch (Nina), Isaac Ledesma (Benny), Jen Vadella (Vanessa), Crystal Gonzalez (Abuela Claudia), Miguel Angel Acevedo (Kevin), Jeanette Dowling (Camila), Jennifer Silverman (Carla), Tyler A Griffin (Sonny), Josue Jasmin (Graffiti Pete), Torrey Rodriguez (Piragua Guy)",Not Applicable,Camera on a tripod in rear orchestra. Soundboard.,Not Applicable,Not Applicable,Not Applicable,Pro-Shot,Not Applicable,Full Show,Irvington Town Hall Theatre,"Irvington, NY",https://encora.it/recordings/28839/
Video,The Last Five Years,London Palladium,"Mar, 2026 (1)",Unknown,Lasagna,"Ben Platt (Jamie Wellerstein), Rachel Zegler (Cathy Hiatt)","An amazing, Full show capture of this amazing Concert at Rachel Zegler’s favourite place! (London Palladium if you couldn’t tell)Light obstruction on the far left which misses a tiny but of action! Only To Be Sold/Traded As One (Both (1) and (2))",Not Applicable,2027-08-01,Not Applicable,Not Applicable,Bootleg,MP4 (4K),Full Show,London Palladium,"London, United Kingdom",https://encora.it/recordings/2031463/
Video,The Last Five Years,London Palladium,"Mar, 2026 (2)",Unknown,Lasagna,"Ben Platt (Jamie Wellerstein), Rachel Zegler (Cathy Hiatt)","This was a…capture. More so a hail-mary capture if you would, definitely didn’t help since I was in a heavily obstructed seat. But, you know what. I surprisingly made it work! Only to be Traded/Sold As one! (Both [1] and [2])",Not Applicable,2027-08-01,Not Applicable,Not Applicable,Bootleg,MP4 (4K),Full Show,London Palladium,"London, United Kingdom",https://encora.it/recordings/2031464/
